Batch ID,Leather type,OperatorID,scanned area,time,date,,,,,,
7679S.I.,PEL.F20P.MACA34,vitogiorgio,41.6,3461,07/10/2020,,,,,,
7679C,CRO.S20P.MACA34,vitogiorgio,32.6,2626,07/10/2020,,,,,,
7679C,CRO.S20P.MACA34,vitogiorgio,32,1578,07/10/2020,,,,,,
7454,PEL.L20.2534,vitogiorgio,1.136,0,07/10/2020,,,,,,
7313,PEL.F20P.MACA01,vitogiorgio,2.162,404,07/10/2020,,,,,,
7619S.I.,PEL.F20P.MACA000,vitogiorgio,0.316,0,07/10/2020,,,,,,
7520,PEL.F20P.MACA880,vitogiorgio,1.326,0,07/10/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,vitogiorgio,0.087,47,07/10/2020,,,,,,
7688C,CRO.S20P.MACA880,vitogiorgio,0.166,189,07/10/2020,,,,,,
7692,PEL.F30.CER009,vitogiorgio,62.75,5593,07/10/2020,,,,,,
7692C,CRO.S30.CER009,vitogiorgio,43.25,912,07/10/2020,,,,,,
7673S.I.,PEL.F20P.MACA850,vitogiorgio,61.25,4976,07/10/2020,,,,,,
7673C,CRO.S20P.MACA850,vitogiorgio,35.63,1528,07/10/2020,,,,,,
7642,PEL.F10P.GEN00/007,vitogiorgio,0.225,0,07/10/2020,,,,,,
7654C,CRO.S20P.MACA11,vitogiorgio,0.135,0,07/10/2020,,,,,,
7656S.I.,PEL.F20P.MACA013,vitogiorgio,0.521,0,07/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,vitogiorgio,0.015,0,07/10/2020,,,,,,
7692,PEL.F30.CER009,vitogiorgio,0.029,0,07/10/2020,,,,,,
7459,PEL.F20P.MACA007,vitogiorgio,0.697,0,07/10/2020,,,,,,
7385C,CRO.S20P.MACA007,vitogiorgio,1.319,0,07/10/2020,,,,,,
7664S.I.,PEL.F20P.MACA330,vitogiorgio,0.236,291,07/10/2020,,,,,,
7494,PEL.F20P.MACA86,vitogiorgio,0.842,0,07/10/2020,,,,,,
7539,PEL.F20P.MACA540,x.pol.t08,9.7,899,07/10/2020,,,,,,
2049C,CRO.S20P.MACA540,x.pol.t08,4.8,208,07/10/2020,,,,,,
7592,PEL.L20.2534,x.pol.t21,66.51,7605,07/10/2020,,,,,,
7592,PEL.L20.2534,x.pol.t08,78.3,7488,07/10/2020,,,,,,
7547,PEL.L15.2601,vitogiorgio,2.682,0,07/10/2020,,,,,,
7389,PEL.L20.2532,x.pol.t22,34.4,2980,08/10/2020,,,,,,
7521,PEL.L20.2536,x.pol.t22,79.14,6081,08/10/2020,,,,,,
7549,PEL.L20.2538,vitogiorgio,136.29,11613,07/10/2020,,,,,,
7680S.I.,PEL.F20P.MACA755,vitogiorgio,1.559,360,08/10/2020,,,,,,
7462,PEL.L15.2609,vitogiorgio,0.182,0,08/10/2020,,,,,,
7611,PEL.L15.2616,vitogiorgio,1.076,505,08/10/2020,,,,,,
7627,PEL.L15.1816,vitogiorgio,0.316,0,08/10/2020,,,,,,
7668,PEL.F10P.GEN00/80,vitogiorgio,3.2,0,08/10/2020,,,,,,
2016C,CRO.S10P.GEN00/80,vitogiorgio,1.7,0,08/10/2020,,,,,,
7619S.I.,PEL.F20P.MACA000,vitogiorgio,1.9,0,08/10/2020,,,,,,
7321,PEL.F20P.MACA81,vitogiorgio,0.942,336,08/10/2020,,,,,,
7619C,CRO.S20P.MACA000,vitogiorgio,0.477,0,08/10/2020,,,,,,
7653C,CRO.S20P.MACA81,vitogiorgio,0.062,33,08/10/2020,,,,,,
7638S.I.,PEL.F20P.MACA86,x.pol.t08,23.043,1890,08/10/2020,,,,,,
6941,PEL.L15.1814,vitogiorgio,0.149,0,08/10/2020,,,,,,
7683S.I. PROVA2,PEL.F20P.MACA80,vitogiorgio,7.2,487,08/10/2020,,,,,,
7604S.I.,PEL.F20P.MACA86,vitogiorgio,25.65,1785,08/10/2020,,,,,,
7604C,CRO.S20P.MACA86,vitogiorgio,18.658,755,09/10/2020,,,,,,
7547,PEL.L15.2601,vitogiorgio,0.454,0,08/10/2020,,,,,,
7644C,CRO.S30.CER910,vitogiorgio,0.223,0,09/10/2020,,,,,,
7663S.I.,PEL.F20P.MACA001,vitogiorgio,0.938,388,09/10/2020,,,,,,
7663C,CRO.S20P.MACA001,vitogiorgio,0.449,194,09/10/2020,,,,,,
7695S.I.,PEL.F20P.MACA540,vitogiorgio,0.953,0,09/10/2020,,,,,,
7695C,CRO.S20P.MACA540,vitogiorgio,0.082,0,09/10/2020,,,,,,
7390,PEL.L15.1814,vitogiorgio,0.757,428,09/10/2020,,,,,,
7639S.I.,PEL.F20P.MACA83,vitogiorgio,0.76,438,09/10/2020,,,,,,
7552,PEL.F20P.MACA81,x.pol.t22,2.51,342,09/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,vitogiorgio,0.182,282,09/10/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,vitogiorgio,1.369,345,09/10/2020,,,,,,
7543,PEL.F30.CER880,nicolagaletta,0.912,141,09/10/2020,,,,,,
7378C,CRO.S30.CER880,nicolagaletta,0.836,58,09/10/2020,,,,,,
7611,PEL.L15.2616,vitogiorgio,0.467,0,09/10/2020,,,,,,
7656S.I.,PEL.F20P.MACA013,vitogiorgio,0.069,0,09/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,vitogiorgio,0.042,59,09/10/2020,,,,,,
7459,PEL.F20P.MACA007,vitogiorgio,0.058,0,09/10/2020,,,,,,
7390,PEL.L15.1814,vitogiorgio,0.326,0,09/10/2020,,,,,,
7592,PEL.L20.2534,vitogiorgio,0.22,0,10/10/2020,,,,,,
7389,PEL.L20.2532,vitogiorgio,0.816,0,10/10/2020,,,,,,
7463,PEL.L15.2602,vitogiorgio,1.585,290,10/10/2020,,,,,,
7692,PEL.F30.CER009,vitogiorgio,0.037,0,10/10/2020,,,,,,
7521,PEL.L20.2536,vitogiorgio,0.496,0,10/10/2020,,,,,,
7502,PEL.F20P.MACA850,vitogiorgio,3.195,0,10/10/2020,,,,,,
